{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1065', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1065.ply'}
{'label': 'bed', 'label_coarse': 'bed', 'name': 'm949', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bed/m949.ply'}
{'label': 'bee', 'label_coarse': 'arthropod', 'name': 'm8', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bee/m8.ply'}
{'label': 'bench', 'label_coarse': 'seat', 'name': 'm774', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bench/m774.ply'}
{'label': 'bench', 'label_coarse': 'seat', 'name': 'm775', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bench/m775.ply'}
{'label': 'bench', 'label_coarse': 'seat', 'name': 'm776', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bench/m776.ply'}
{'label': 'bench', 'label_coarse': 'seat', 'name': 'm777', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bench/m777.ply'}
{'label': 'bed', 'label_coarse': 'bed', 'name': 'm950', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bed/m950.ply'}
{'label': 'bed', 'label_coarse': 'bed', 'name': 'm951', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bed/m951.ply'}
{'label': 'bee', 'label_coarse': 'arthropod', 'name': 'm5', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bee/m5.ply'}
{'label': 'bee', 'label_coarse': 'arthropod', 'name': 'm6', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bee/m6.ply'}
{'label': 'bee', 'label_coarse': 'arthropod', 'name': 'm7', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bee/m7.ply'}
{'label': 'bench', 'label_coarse': 'seat', 'name': 'm779', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bench/m779.ply'}
{'label': 'bench', 'label_coarse': 'seat', 'name': 'm780', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bench/m780.ply'}
{'label': 'bench', 'label_coarse': 'seat', 'name': 'm781', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bench/m781.ply'}
{'label': 'bench', 'label_coarse': 'seat', 'name': 'm782', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bench/m782.ply'}
{'label': 'bench', 'label_coarse': 'seat', 'name': 'm783', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bench/m783.ply'}
{'label': 'bicycle', 'label_coarse': 'cycle', 'name': 'm1476', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bicycle/m1476.ply'}
{'label': 'bicycle', 'label_coarse': 'cycle', 'name': 'm1477', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bicycle/m1477.ply'}
{'label': 'bicycle', 'label_coarse': 'cycle', 'name': 'm1478', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bicycle/m1478.ply'}
{'label': 'billboard', 'label_coarse': 'sign', 'name': 'm1682', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/billboard/m1682.ply'}
{'label': 'billboard', 'label_coarse': 'sign', 'name': 'm1683', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/billboard/m1683.ply'}
{'label': 'bench', 'label_coarse': 'seat', 'name': 'm784', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bench/m784.ply'}
{'label': 'bicycle', 'label_coarse': 'cycle', 'name': 'm1472', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bicycle/m1472.ply'}
{'label': 'bicycle', 'label_coarse': 'cycle', 'name': 'm1473', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bicycle/m1473.ply'}
{'label': 'bicycle', 'label_coarse': 'cycle', 'name': 'm1474', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bicycle/m1474.ply'}
{'label': 'bicycle', 'label_coarse': 'cycle', 'name': 'm1475', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bicycle/m1475.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1121', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1121.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1122', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1122.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1123', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1123.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1124', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1124.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1125', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1125.ply'}
{'label': 'billboard', 'label_coarse': 'sign', 'name': 'm1684', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/billboard/m1684.ply'}
{'label': 'billboard', 'label_coarse': 'sign', 'name': 'm1685', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/billboard/m1685.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1118', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1118.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1119', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1119.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1120', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1120.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1126', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1126.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1127', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1127.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1128', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1128.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1129', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1129.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1130', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1130.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1131', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1131.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1132', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1132.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1133', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1133.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1134', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1134.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1135', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1135.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1141', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1141.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1142', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1142.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1143', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1143.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1144', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1144.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1145', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1145.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1136', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1136.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1137', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1137.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1138', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1138.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1139', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1139.ply'}
{'label': 'biplane', 'label_coarse': 'winged_vehicle', 'name': 'm1140', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/biplane/m1140.ply'}
{'label': 'book', 'label_coarse': 'handheld', 'name': 'm1789', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/book/m1789.ply'}
{'label': 'book', 'label_coarse': 'handheld', 'name': 'm1790', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/book/m1790.ply'}
{'label': 'book', 'label_coarse': 'handheld', 'name': 'm1791', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/book/m1791.ply'}
{'label': 'book', 'label_coarse': 'handheld', 'name': 'm1792', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/book/m1792.ply'}
{'label': 'bottle', 'label_coarse': 'liquid_container', 'name': 'm482', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bottle/m482.ply'}
{'label': 'bottle', 'label_coarse': 'liquid_container', 'name': 'm483', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bottle/m483.ply'}
{'label': 'bottle', 'label_coarse': 'liquid_container', 'name': 'm484', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bottle/m484.ply'}
{'label': 'bottle', 'label_coarse': 'liquid_container', 'name': 'm485', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bottle/m485.ply'}
{'label': 'bottle', 'label_coarse': 'liquid_container', 'name': 'm486', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bottle/m486.ply'}
{'label': 'bottle', 'label_coarse': 'liquid_container', 'name': 'm487', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bottle/m487.ply'}
{'label': 'brain', 'label_coarse': 'head', 'name': 'm287', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/brain/m287.ply'}
{'label': 'brain', 'label_coarse': 'head', 'name': 'm288', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/brain/m288.ply'}
{'label': 'brain', 'label_coarse': 'head', 'name': 'm289', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/brain/m289.ply'}
{'label': 'bridge', 'label_coarse': 'bridge', 'name': 'm1779', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bridge/m1779.ply'}
{'label': 'bridge', 'label_coarse': 'bridge', 'name': 'm1780', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bridge/m1780.ply'}
{'label': 'bottle', 'label_coarse': 'liquid_container', 'name': 'm493', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bottle/m493.ply'}
{'label': 'brain', 'label_coarse': 'head', 'name': 'm283', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/brain/m283.ply'}
{'label': 'brain', 'label_coarse': 'head', 'name': 'm284', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/brain/m284.ply'}
{'label': 'brain', 'label_coarse': 'head', 'name': 'm285', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/brain/m285.ply'}
{'label': 'brain', 'label_coarse': 'head', 'name': 'm286', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/brain/m286.ply'}
{'label': 'bottle', 'label_coarse': 'liquid_container', 'name': 'm488', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bottle/m488.ply'}
{'label': 'bottle', 'label_coarse': 'liquid_container', 'name': 'm489', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bottle/m489.ply'}
{'label': 'bottle', 'label_coarse': 'liquid_container', 'name': 'm490', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bottle/m490.ply'}
{'label': 'bottle', 'label_coarse': 'liquid_container', 'name': 'm491', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bottle/m491.ply'}
{'label': 'bottle', 'label_coarse': 'liquid_container', 'name': 'm492', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bottle/m492.ply'}
{'label': 'bridge', 'label_coarse': 'bridge', 'name': 'm1781', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bridge/m1781.ply'}
{'label': 'bridge', 'label_coarse': 'bridge', 'name': 'm1782', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bridge/m1782.ply'}
{'label': 'bridge', 'label_coarse': 'bridge', 'name': 'm1783', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bridge/m1783.ply'}
{'label': 'bridge', 'label_coarse': 'bridge', 'name': 'm1784', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bridge/m1784.ply'}
{'label': 'bridge', 'label_coarse': 'bridge', 'name': 'm1785', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bridge/m1785.ply'}
{'label': 'bridge', 'label_coarse': 'bridge', 'name': 'm1786', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bridge/m1786.ply'}
{'label': 'bridge', 'label_coarse': 'bridge', 'name': 'm1787', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bridge/m1787.ply'}
{'label': 'bridge', 'label_coarse': 'bridge', 'name': 'm1788', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bridge/m1788.ply'}
{'label': 'bush', 'label_coarse': 'plant', 'name': 'm961', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bush/m961.ply'}
